                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     73,                 1.0756,                 1.1107,                 1.2336,                0.79829,                0.67074,                0.75187,                0.53705,                  1.147,                0.92507,                 1.2798,              0.0071884,              0.0071884,              0.0071884
                     74,                 1.0691,                 1.0998,                 1.2259,                0.79829,                0.67661,                0.75367,                0.53757,                 1.1498,                0.92691,                 1.2779,              0.0071488,              0.0071488,              0.0071488
                     75,                 1.0678,                 1.1114,                 1.2305,                0.81159,                0.67085,                0.75404,                0.53653,                 1.1419,                 0.9238,                 1.2741,              0.0071092,              0.0071092,              0.0071092
                     76,                 1.0623,                 1.0944,                 1.2225,                0.81763,                0.68042,                0.75801,                0.53906,                 1.1454,                0.91619,                  1.275,              0.0070696,              0.0070696,              0.0070696
                     77,                  1.063,                 1.1039,                 1.2306,                0.80211,                0.67945,                0.75764,                0.54015,                 1.1414,                0.92425,                  1.275,                0.00703,                0.00703,                0.00703
                     78,                 1.0647,                 1.0981,                 1.2239,                0.83002,                0.65452,                 0.7606,                0.54153,                 1.1329,                0.91147,                  1.269,              0.0069904,              0.0069904,              0.0069904
                     79,                 1.0732,                 1.0824,                 1.2294,                0.81241,                0.66944,                0.76169,                0.54568,                 1.1301,                0.90857,                 1.2647,              0.0069508,              0.0069508,              0.0069508
                     80,                 1.0594,                 1.0837,                  1.226,                0.79886,                0.68731,                0.76085,                0.54473,                 1.1354,                0.89845,                 1.2657,              0.0069112,              0.0069112,              0.0069112
                     81,                 1.0647,                 1.0878,                 1.2274,                0.81595,                0.68341,                0.76144,                0.54313,                 1.1387,                  0.905,                 1.2728,              0.0068716,              0.0068716,              0.0068716
                     82,                 1.0702,                 1.0957,                 1.2305,                0.82764,                0.67891,                0.76711,                0.54579,                 1.1423,                0.90508,                 1.2734,               0.006832,               0.006832,               0.006832
                     83,                 1.0535,                 1.0807,                 1.2226,                0.82539,                0.67859,                0.76949,                0.54879,                 1.1464,                 0.8902,                 1.2752,              0.0067924,              0.0067924,              0.0067924
                     84,                 1.0531,                 1.0717,                 1.2174,                0.82413,                0.67829,                0.76577,                0.54797,                 1.1406,                0.89418,                 1.2726,              0.0067528,              0.0067528,              0.0067528
                     85,                 1.0406,                 1.0541,                 1.2148,                0.80936,                0.68992,                0.76414,                0.54769,                 1.1414,                0.88324,                 1.2723,              0.0067132,              0.0067132,              0.0067132
                     86,                 1.0606,                 1.0681,                 1.2225,                 0.8101,                 0.6873,                0.76475,                0.54997,                 1.1362,                0.87893,                 1.2707,              0.0066736,              0.0066736,              0.0066736
                     87,                  1.052,                 1.0656,                  1.221,                 0.8357,                 0.6833,                 0.7716,                0.55165,                 1.1393,                0.88283,                 1.2707,               0.006634,               0.006634,               0.006634
                     88,                 1.0448,                 1.0596,                 1.2147,                0.82884,                0.68501,                0.77035,                0.55302,                 1.1332,                0.88001,                 1.2667,              0.0065944,              0.0065944,              0.0065944
                     89,                 1.0491,                 1.0559,                 1.2117,                0.82507,                0.69035,                0.77381,                0.55435,                 1.1273,                 0.8747,                 1.2636,              0.0065548,              0.0065548,              0.0065548
                     90,                 1.0448,                 1.0586,                 1.2133,                0.83866,                0.68526,                0.77341,                0.55532,                 1.1309,                0.87697,                 1.2672,              0.0065152,              0.0065152,              0.0065152
                     91,                 1.0448,                 1.0394,                 1.2104,                0.83258,                0.69544,                0.77446,                0.55468,                 1.1369,                0.87664,                 1.2691,              0.0064756,              0.0064756,              0.0064756
                     92,                 1.0354,                 1.0346,                 1.2086,                 0.8272,                0.69069,                0.77314,                0.55548,                 1.1317,                0.87967,                 1.2665,               0.006436,               0.006436,               0.006436
